                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 0.4948,                0.36103,                 0.8974,                0.87038,                0.76836,                0.82086,                0.69987,                0.70145,                0.73662,                  1.002,             0.00028176,             0.00028176,             0.00028176
                    130,                0.49834,                0.36596,                0.89676,                0.87325,                0.76579,                0.82268,                0.70644,                0.70577,                 0.7248,                 1.0067,             0.00027796,             0.00027796,             0.00027796
                    131,                0.50338,                0.36571,                0.89879,                0.87564,                0.77471,                0.82935,                0.70988,                0.71321,                0.71111,                 1.0143,             0.00027415,             0.00027415,             0.00027415
                    132,                0.48697,                0.35713,                0.89579,                0.86196,                 0.7719,                0.83024,                0.71552,                0.69894,                0.71227,                 1.0072,             0.00027034,             0.00027034,             0.00027034
                    133,                0.49533,                0.35444,                0.89525,                 0.8781,                0.77797,                0.82392,                0.70107,                0.70434,                 0.7368,                 1.0106,             0.00026654,             0.00026654,             0.00026654
                    134,                0.48535,                0.35302,                0.89238,                0.84248,                0.79551,                0.82529,                0.69853,                0.69805,                0.70703,                 1.0043,             0.00026273,             0.00026273,             0.00026273
                    135,                0.48343,                 0.3511,                0.89235,                0.87387,                0.78399,                0.82826,                0.70641,                 0.6945,                0.72478,                      1,             0.00025892,             0.00025892,             0.00025892
                    136,                0.48347,                0.34992,                0.89003,                0.82971,                0.79469,                 0.8262,                0.71192,                0.69817,                0.72945,                0.99944,             0.00025512,             0.00025512,             0.00025512
                    137,                0.47764,                 0.3522,                0.89024,                0.85384,                0.78004,                0.83176,                0.71436,                0.69598,                0.70255,                 1.0002,             0.00025131,             0.00025131,             0.00025131
                    138,                0.47916,                0.34061,                0.88701,                0.88314,                0.77485,                0.82879,                0.71498,                0.70073,                0.70161,                 1.0058,              0.0002475,              0.0002475,              0.0002475
                    139,                0.47699,                0.35055,                0.89105,                0.84701,                0.78026,                0.82316,                0.70671,                0.70435,                0.73363,                 1.0092,              0.0002437,              0.0002437,              0.0002437
                    140,                0.47042,                0.34233,                0.88764,                0.86326,                0.77675,                0.83369,                0.71188,                0.70106,                0.72505,                 1.0032,             0.00023989,             0.00023989,             0.00023989
                    141,                0.47141,                0.34011,                0.88835,                0.83656,                0.78812,                0.82913,                0.70958,                0.70437,                0.71629,                 1.0006,             0.00023608,             0.00023608,             0.00023608
                    142,                0.47285,                0.34636,                0.89186,                  0.829,                0.80358,                0.83022,                0.71398,                0.69376,                0.70429,                 1.0099,             0.00023228,             0.00023228,             0.00023228
                    143,                0.46916,                0.34071,                0.88475,                0.85107,                0.78804,                0.83469,                0.71816,                0.69337,                0.69162,                 1.0072,             0.00022847,             0.00022847,             0.00022847
                    144,                0.46756,                0.33334,                0.88422,                0.87006,                0.77612,                0.82964,                0.70665,                  0.692,                 0.7267,                 1.0073,             0.00022466,             0.00022466,             0.00022466
                    145,                0.46549,                0.33378,                0.88878,                0.84457,                0.79443,                0.83369,                 0.7155,                0.69753,                0.71855,                 1.0061,             0.00022086,             0.00022086,             0.00022086
                    146,                0.46257,                0.33634,                0.88432,                0.85757,                0.79038,                0.83555,                0.71262,                0.69532,                0.71416,                 1.0011,             0.00021705,             0.00021705,             0.00021705
                    147,                0.46748,                0.33454,                0.89287,                 0.8806,                0.78254,                0.83493,                0.71111,                  0.697,                0.70894,                 1.0102,             0.00021324,             0.00021324,             0.00021324
                    148,                0.45684,                0.33168,                0.88596,                0.87054,                0.77133,                0.83529,                0.71611,                0.69865,                0.71115,                 1.0025,             0.00020944,             0.00020944,             0.00020944
                    149,                0.45903,                0.32867,                0.88101,                0.87091,                0.76051,                0.82982,                  0.713,                0.69842,                0.72561,                 1.0055,             0.00020563,             0.00020563,             0.00020563
                    150,                0.45813,                0.33097,                0.88497,                 0.8577,                0.78419,                0.82786,                0.71164,                0.68441,                0.73737,                0.99697,             0.00020182,             0.00020182,             0.00020182
