                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.55854,                0.43321,                 1.0064,                0.95032,                0.87281,                0.95152,                0.75828,                0.79196,                0.47299,                 1.1813,              0.0009506,              0.0009506,              0.0009506
                    108,                0.55924,                  0.443,                 1.0029,                0.96397,                0.87452,                0.95111,                0.75862,                0.77088,                0.49012,                 1.1708,              0.0009407,              0.0009407,              0.0009407
                    109,                0.56913,                 0.4442,                 1.0115,                0.92973,                0.91255,                0.95477,                 0.7643,                0.76993,                0.45772,                  1.153,              0.0009308,              0.0009308,              0.0009308
                    110,                0.54955,                0.42864,                 0.9924,                0.96131,                 0.8975,                 0.9561,                0.76095,                0.75788,                0.46276,                 1.1792,              0.0009209,              0.0009209,              0.0009209
                    111,                0.57048,                  0.436,                 1.0093,                0.96439,                0.87524,                0.94502,                0.75739,                0.79835,                0.49746,                 1.1967,               0.000911,               0.000911,               0.000911
                    112,                0.55181,                0.42819,                0.99853,                0.97406,                0.87643,                0.95285,                0.77231,                  0.754,                0.44932,                 1.1648,              0.0009011,              0.0009011,              0.0009011
                    113,                0.55788,                 0.4379,                 1.0045,                0.94721,                0.90304,                0.95218,                0.76141,                0.77069,                0.46514,                 1.1731,              0.0008912,              0.0008912,              0.0008912
                    114,                0.53798,                0.41352,                0.99303,                  0.961,                0.88783,                0.95305,                0.76579,                0.76232,                0.45892,                  1.172,              0.0008813,              0.0008813,              0.0008813
                    115,                0.53279,                0.40624,                 0.9907,                0.95325,                0.89165,                0.94787,                0.77721,                0.75916,                0.46531,                 1.1627,              0.0008714,              0.0008714,              0.0008714
                    116,                 0.5318,                0.41323,                0.98496,                0.96067,                0.88223,                0.94411,                0.76132,                0.77048,                0.47963,                 1.1607,              0.0008615,              0.0008615,              0.0008615
                    117,                 0.5237,                 0.4032,                0.98787,                0.92748,                0.91065,                0.95478,                0.76698,                0.78453,                  0.476,                 1.1694,              0.0008516,              0.0008516,              0.0008516
                    118,                0.53069,                0.41588,                0.99353,                0.93888,                0.91445,                0.95654,                0.77796,                0.73425,                0.44975,                 1.1415,              0.0008417,              0.0008417,              0.0008417
                    119,                0.53753,                0.41237,                0.98576,                0.96632,                0.88213,                 0.9532,                0.77878,                0.73121,                0.45239,                 1.1379,              0.0008318,              0.0008318,              0.0008318
                    120,                0.53456,                0.40716,                0.99187,                0.94469,                0.90915,                0.96176,                0.77493,                 0.7519,                0.47168,                  1.149,              0.0008219,              0.0008219,              0.0008219
                    121,                0.55028,                0.41289,                0.99903,                0.94091,                 0.9081,                0.95116,                0.77188,                0.76692,                0.45697,                 1.1651,               0.000812,               0.000812,               0.000812
                    122,                0.53726,                0.41694,                0.99093,                0.95531,                0.89544,                0.95304,                 0.7716,                 0.7516,                0.46199,                 1.1439,              0.0008021,              0.0008021,              0.0008021
